City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,honningsvag,70.9821,25.9704,26.35,74,6,32.21,NO,1669254796
1,lloydminster,53.2835,-110.0016,28.62,80,0,14.97,CA,1669254796
2,luderitz,-26.6481,15.1594,59.45,80,0,11.7,NA,1669254796
3,busselton,-33.65,115.3333,65.82,55,100,9.69,AU,1669254797
4,tautira,-17.7333,-149.15,76.42,85,100,15.97,PF,1669254797
5,sakakah,29.9697,40.2064,65.77,48,92,5.99,SA,1669254797
6,olafsvik,64.8945,-23.7142,38.41,84,100,39.55,IS,1669254798
7,kahului,20.8947,-156.47,82.42,67,40,19.57,US,1669254798
8,kuching,1.55,110.3333,81.21,91,20,3.44,MY,1669254798
9,tiznit,29.5833,-9.5,65.21,32,92,3.89,MA,1669254799
10,kabinda,-6.1333,24.4833,63.01,96,100,2.33,CD,1669254799
11,rikitea,-23.1203,-134.9692,71.13,87,99,7.78,PF,1669254800
12,ribeira grande,38.5167,-28.7,59.77,77,64,3.0,PT,1669254800
13,atuona,-9.8,-139.0333,77.81,77,12,13.87,PF,1669254801
14,san luis,-33.295,-66.3356,77.41,28,0,9.19,AR,1669254685
15,sawakin,19.1059,37.3321,79.27,72,0,2.89,SD,1669254801
16,port alfred,-33.5906,26.891,66.18,83,47,3.0,ZA,1669254802
17,kapaa,22.0752,-159.319,79.48,74,12,3.0,US,1669254802
18,lusambo,-4.9667,23.45,67.5,99,83,1.45,CD,1669254802
19,bambous virieux,-20.3428,57.7575,75.45,83,40,6.91,MU,1669254803
20,kaitangata,-46.2817,169.8464,58.19,45,87,13.47,NZ,1669254803
21,santa cruz,-17.8,-63.1667,78.26,61,100,3.44,BO,1669254762
22,mataura,-46.1927,168.8643,57.47,39,36,12.39,NZ,1669254803
23,vila franca do campo,37.7167,-25.4333,63.01,81,100,9.86,PT,1669254804
24,bowen,-20.0167,148.2333,82.4,76,46,11.63,AU,1669254804
25,staunton,38.1496,-79.0717,39.29,63,0,3.44,US,1669254606
26,sao filipe,14.8961,-24.4956,77.2,65,100,10.09,CV,1669254805
27,fare,-16.7,-151.0167,79.2,76,100,6.98,PF,1669254805
28,bandarbeyla,9.4942,50.8122,76.35,77,4,10.27,SO,1669254805
29,sarankhola,22.3082,89.7897,67.41,57,18,5.5,BD,1669254806
30,kavieng,-2.5744,150.7967,85.78,59,90,8.95,PG,1669254806
31,qaanaaq,77.484,-69.3632,11.14,89,87,2.3,GL,1669254807
32,ushuaia,-54.8,-68.3,40.66,70,40,13.8,AR,1669254807
33,airai,-8.9266,125.4092,74.1,62,64,1.36,TL,1669254807
34,kalamb,19.05,73.95,66.36,47,23,2.57,IN,1669254808
35,east london,-33.0153,27.9116,67.5,78,77,18.61,ZA,1669254808
36,chuy,-33.6971,-53.4616,59.76,71,5,6.44,UY,1669254809
37,puerto ayora,-0.7393,-90.3518,68.56,97,58,3.0,EC,1669254809
38,kaiyuan,23.6977,103.3037,64.56,74,96,1.14,CN,1669254809
39,neuquen,-38.9516,-68.0591,76.89,36,0,13.8,AR,1669254790
40,rudnichnyy,59.617,52.4703,14.58,84,88,9.31,RU,1669254810
41,yellowknife,62.456,-114.3525,19.92,86,100,5.75,CA,1669254768
42,pisco,-13.7,-76.2167,66.25,88,0,12.66,PE,1669254811
43,ponta delgada,37.7333,-25.6667,63.32,72,40,10.36,PT,1669254811
44,cape town,-33.9258,18.4232,59.88,90,75,10.36,ZA,1669254791
45,werda,-25.2667,23.2833,71.56,54,99,6.46,BW,1669254812
46,vestmannaeyjar,63.4427,-20.2734,43.63,64,100,19.19,IS,1669254872
47,morondava,-20.2833,44.2833,74.79,79,2,6.4,MG,1669254872
48,mar del plata,-38.0023,-57.5575,64.42,73,0,3.44,AR,1669254873
49,victoria,22.2855,114.1577,74.17,91,100,15.99,HK,1669254723
50,massagno,46.0156,8.9453,45.07,80,0,1.14,CH,1669254873
51,saldanha,-33.0117,17.9442,60.85,84,87,7.9,ZA,1669254847
52,jamestown,42.097,-79.2353,40.64,72,0,3.44,US,1669254657
53,port hedland,-20.3167,118.5667,86.05,58,25,9.22,AU,1669254874
54,khorixas,-20.3667,14.9667,72.21,24,99,4.47,NA,1669254874
55,severo-kurilsk,50.6789,156.125,35.38,59,88,11.79,RU,1669254874
56,nipawin,53.3668,-104.0009,32.04,80,0,11.5,CA,1669254875
57,pandharpur,17.6667,75.3333,70.92,53,97,3.6,IN,1669254875
58,dikson,73.5069,80.5464,-21.53,98,93,13.35,RU,1669254875
59,vaini,-21.2,-175.2,84.36,74,20,5.75,TO,1669254876
60,padang,-0.9492,100.3543,75.25,76,97,2.86,ID,1669254778
61,bluff,-46.6,168.3333,57.79,67,29,21.94,NZ,1669254876
62,nanortalik,60.1432,-45.2371,31.06,73,99,9.4,GL,1669254876
63,hobart,-42.8794,147.3294,63.27,62,75,13.8,AU,1669254877
64,saint-philippe,-21.3585,55.7679,72.99,82,38,9.19,RE,1669254877
65,ciudad ojeda,10.1964,-71.3082,76.78,86,24,6.91,VE,1669254877
66,avera,33.194,-82.5271,56.71,62,18,6.35,US,1669254878
67,kodiak,57.79,-152.4072,33.31,86,100,18.41,US,1669254878
68,zhigansk,66.7697,123.3711,-40.54,100,62,2.37,RU,1669254847
69,lagoa,39.05,-27.9833,60.44,67,100,21.65,PT,1669254878
70,nikolskoye,59.7035,30.7861,22.91,90,35,4.85,RU,1669254879
71,mount gambier,-37.8333,140.7667,62.65,51,60,6.8,AU,1669254879
72,pilar,-9.5972,-35.9567,71.53,90,14,3.76,BR,1669254877
73,portland,45.5234,-122.6762,50.2,93,75,4.61,US,1669254216
74,aykhal,66.0,111.5,-15.03,100,100,5.86,RU,1669254879
75,faanui,-16.4833,-151.75,79.61,74,99,5.46,PF,1669254880
76,rockingham,42.9668,-71.0995,38.66,75,5,4.29,US,1669254880
77,comodoro rivadavia,-45.8667,-67.5,64.26,29,0,34.52,AR,1669254814
78,khandbari,27.3747,87.2039,59.94,60,0,1.45,NP,1669254880
79,constitucion,-35.3333,-72.4167,58.62,86,22,15.97,CL,1669254881
80,bredasdorp,-34.5322,20.0403,61.09,78,100,10.63,ZA,1669254881
81,hilo,19.7297,-155.09,78.24,87,36,4.0,US,1669254803
82,ozu,33.5,132.55,68.18,61,100,9.69,JP,1669254882
83,waipawa,-41.4122,175.5153,59.97,57,35,19.42,NZ,1669254882
84,albany,42.6001,-73.9662,38.88,73,10,3.62,US,1669254735
85,hermanus,-34.4187,19.2345,59.81,80,100,15.46,ZA,1669254882
86,balykshi,47.0667,51.8667,33.8,93,0,8.95,KZ,1669254883
87,upernavik,72.7868,-56.1549,22.08,87,100,5.3,GL,1669254628
88,new norfolk,-42.7826,147.0587,62.92,57,100,5.01,AU,1669254883
89,fuxin,42.0156,121.6589,39.0,49,12,5.53,CN,1669254884
90,borzoy,42.8415,45.6275,45.97,59,10,6.29,RU,1669254944
91,arraial do cabo,-22.9661,-42.0278,73.62,91,100,23.82,BR,1669254944
92,ketchikan,55.3422,-131.6461,48.67,93,100,31.07,US,1669254656
93,margate,51.3813,1.3862,46.9,86,94,1.99,GB,1669254945
94,buin,-33.7333,-70.75,77.11,58,10,2.13,CL,1669254945
95,impfondo,1.6381,18.0667,70.61,94,88,2.64,CG,1669254945
96,fairbanks,64.8378,-147.7164,10.74,84,100,0.0,US,1669254487
97,isangel,-19.55,169.2667,87.91,74,34,8.05,VU,1669254946
98,avarua,-21.2078,-159.775,80.65,74,100,17.27,CK,1669254946
99,olinda,-8.0089,-34.8553,80.33,69,20,4.61,BR,1669254946
100,longyearbyen,78.2186,15.6401,26.8,91,100,6.53,SJ,1669254946
101,punta arenas,-53.15,-70.9167,39.31,87,40,19.57,CL,1669254947
102,picton,-34.1833,150.6,77.9,40,1,3.71,AU,1669254947
103,pericos,25.05,-107.7,74.37,52,100,3.76,MX,1669254947
104,riviere-au-renard,48.9957,-64.3971,17.89,66,100,25.59,CA,1669254948
105,geraldton,-28.7667,114.6,73.81,53,40,8.05,AU,1669254913
106,maniitsoq,65.4167,-52.9,28.74,56,92,6.22,GL,1669254948
107,chokurdakh,70.6333,147.9167,-29.97,100,69,4.74,RU,1669254948
108,iranshahr,27.2025,60.6848,60.48,16,96,1.61,IR,1669254949
109,quatre cocos,-20.2078,57.7625,75.31,80,44,9.78,MU,1669254949
110,paignton,50.4357,-3.5679,49.64,85,2,7.0,GB,1669254949
111,kamenka,51.3223,42.7678,33.17,92,100,9.53,RU,1669254950
112,spartanburg,34.9496,-81.9321,51.42,59,0,0.0,US,1669254950
113,caldwell,43.6629,-116.6874,41.61,69,0,4.61,US,1669254462
114,basco,20.4487,121.9702,81.23,81,7,11.63,PH,1669254950
115,cherskiy,68.75,161.3,-29.83,98,99,2.77,RU,1669254951
116,vila velha,-20.3297,-40.2925,75.15,92,40,6.91,BR,1669254756
117,pahrump,36.2083,-115.9839,60.94,18,10,5.01,US,1669254875
118,ashtabula,41.7001,-80.7665,44.24,80,0,0.0,US,1669254737
119,ahuimanu,21.4447,-157.8378,79.75,77,24,1.99,US,1669254951
120,khandyga,62.6667,135.6,-21.82,98,93,1.39,RU,1669254952
121,iqaluit,63.7506,-68.5145,-5.31,70,0,10.36,CA,1669254706
122,bakchar,57.0186,82.0711,-8.28,90,100,7.09,RU,1669254952
123,bac lieu,9.285,105.7244,82.63,79,97,13.18,VN,1669254952
124,north bend,43.4065,-124.2243,56.07,91,0,8.05,US,1669254953
125,huarmey,-10.0681,-78.1522,66.81,84,5,5.82,PE,1669254953
126,berlevag,70.8578,29.0864,22.95,68,21,10.36,NO,1669254953
127,souillac,-20.5167,57.5167,75.58,83,40,6.91,MU,1669254889
128,antofagasta,-23.65,-70.4,64.24,74,19,1.07,CL,1669254954
129,bhuban,20.8833,85.8333,68.29,57,39,2.98,IN,1669254954
130,rolante,-29.6506,-50.5758,67.03,98,16,2.17,BR,1669254954
131,turinsk,58.0458,63.696,7.75,90,100,5.95,RU,1669254955
132,tasiilaq,65.6145,-37.6368,20.84,67,80,8.86,GL,1669254896
133,chingirlau,51.095,54.0814,35.04,95,100,6.24,KZ,1669254955
134,kaabong,3.4836,34.1492,64.18,73,38,3.87,UG,1669254955
135,balasheyka,53.2841,48.0851,32.05,98,100,2.62,RU,1669254956
136,quelimane,-17.8786,36.8883,76.95,94,40,7.0,MZ,1669255016
137,chapais,49.7834,-74.8492,6.58,97,28,3.11,CA,1669255016
138,urucara,-2.5364,-57.76,73.94,96,87,2.37,BR,1669255016
139,port elizabeth,-33.918,25.5701,65.1,80,20,4.61,ZA,1669254913
140,saint-georges,12.0564,-61.7485,78.48,89,20,11.5,GD,1669255017
141,yarmouth,41.7057,-70.2286,46.96,64,6,18.01,US,1669255017
142,tazovskiy,67.4667,78.7,-33.56,99,27,4.92,RU,1669255018
143,borogontsy,62.6683,131.1683,-18.26,97,96,2.17,RU,1669255018
144,dunedin,-45.8742,170.5036,55.8,67,79,11.01,NZ,1669254924
145,tuktoyaktuk,69.4541,-133.0374,10.4,92,100,9.22,CA,1669255018
146,tortoli,39.9256,9.6572,58.77,67,83,7.36,IT,1669255019
147,guaimaro,21.05,-77.35,73.49,91,16,7.49,CU,1669255019
148,alofi,-19.0595,-169.9187,84.09,61,75,11.5,NU,1669254988
149,shimoda,34.6667,138.95,69.1,74,72,6.71,JP,1669255019
150,roma,43.2128,-75.4557,35.67,93,66,3.6,US,1669255020
151,komsomolskiy,40.4272,71.7189,38.12,81,97,6.91,UZ,1669255020
152,cap-aux-meules,47.3821,-61.8597,26.65,93,75,31.07,CA,1669254965
153,schipluiden,51.9774,4.3157,49.01,89,20,16.11,NL,1669255020
154,evensk,61.95,159.2333,2.21,81,100,7.78,RU,1669255021
155,vanimo,-2.6741,141.3028,80.1,84,100,4.16,PG,1669255021
156,svetlaya,46.5389,138.3297,34.92,39,9,3.8,RU,1669255021
157,alice springs,-23.7,133.8833,63.95,94,100,8.05,AU,1669255022
158,maunabo,18.0072,-65.8993,77.88,92,30,12.28,PR,1669255022
159,la rioja,42.25,-2.5,35.38,81,100,5.59,ES,1669255022
160,chone,-0.6833,-80.1,72.14,79,99,7.65,EC,1669255023
161,solano,38.2333,-121.9511,62.55,57,99,1.72,US,1669255023
162,feicheng,35.2606,117.9675,57.88,60,0,6.17,CN,1669255024
163,nyurba,63.2842,118.3319,-31.38,100,100,1.59,RU,1669255024
164,stornoway,58.2093,-6.3865,47.03,86,75,23.02,GB,1669255025
165,imeni stepana razina,54.8932,44.2963,26.29,95,100,6.78,RU,1669255025
166,vostok,46.4856,135.8833,23.36,60,5,2.73,RU,1669255026
167,mahebourg,-20.4081,57.7,75.49,83,40,6.91,MU,1669255026
168,pauini,-7.7136,-66.9764,71.64,89,91,0.81,BR,1669255026
169,woodburn,45.1437,-122.8554,47.91,80,100,1.01,US,1669255027
170,rockport,28.0206,-97.0544,66.24,89,40,10.36,US,1669255027
171,nelson bay,-32.7167,152.15,73.45,58,1,11.01,AU,1669255027
172,castro,-24.7911,-50.0119,62.29,89,7,1.81,BR,1669255028
173,khatanga,71.9667,102.5,-40.81,100,57,2.86,RU,1669255028
174,klaksvik,62.2266,-6.589,47.32,90,100,35.95,FO,1669255028
175,tavda,58.0425,65.2726,0.43,95,95,4.05,RU,1669255029
176,broken hill,-31.95,141.4333,75.54,26,50,2.93,AU,1669255029
177,hasaki,35.7333,140.8333,66.29,58,2,23.87,JP,1669255029
178,saskylakh,71.9167,114.0833,-35.79,100,96,2.35,RU,1669255030
179,kem,64.9555,34.5793,21.76,86,21,4.43,RU,1669255030
180,yumen,40.2833,97.2,37.56,30,100,19.17,CN,1669255031
181,thongwa,16.7619,96.5278,80.76,66,30,8.5,MM,1669255031
182,kaka,37.3482,59.6143,55.81,28,96,2.68,TM,1669255031
183,norman wells,65.282,-126.8329,8.64,92,40,3.44,CA,1669255092
184,san patricio,28.017,-97.5169,66.92,96,95,8.32,US,1669255092
185,talnakh,69.4865,88.3972,-30.37,96,12,1.63,RU,1669255092
186,clyde river,70.4692,-68.5914,-3.77,65,100,2.3,CA,1669255093
187,ampanihy,-24.7,44.75,71.98,80,1,6.04,MG,1669255093
188,bundaberg,-24.85,152.35,80.22,40,98,3.0,AU,1669255093
189,los llanos de aridane,28.6585,-17.9182,65.95,87,100,8.05,ES,1669254978
190,lisala,2.15,21.5167,68.13,96,11,1.77,CD,1669255094
191,bethel,41.3712,-73.414,42.94,70,6,4.05,US,1669254877
192,fort nelson,58.8053,-122.7002,28.94,73,100,2.3,CA,1669255094
193,leningradskiy,69.3833,178.4167,-6.97,97,100,2.24,RU,1669255095
194,sioux lookout,50.1001,-91.917,32.07,86,75,8.05,CA,1669255095
195,acapulco,16.8634,-99.8901,78.49,83,97,4.21,MX,1669255013
196,zhezkazgan,47.8043,67.7144,31.98,93,100,13.42,KZ,1669255095
197,poum,-20.2333,164.0167,79.3,78,55,13.29,NC,1669255096
198,ponta do sol,32.6667,-17.1,67.01,68,33,5.61,PT,1669255001
199,chardara,41.2547,67.9692,53.71,57,100,9.8,KZ,1669255096
200,viedma,-40.8135,-62.9967,70.27,42,3,16.06,AR,1669255096
201,baykit,61.67,96.37,-10.17,98,100,2.46,RU,1669255097
202,kirakira,-10.4544,161.9205,84.85,72,41,7.58,SB,1669255097
